target,feature,gain
receptions,Past-1-career_yards_after_catch,2468.394287109375
receptions,Past-1-season_yards_after_catch,2453.416015625
receptions,Past-2-delta_career_comp_pct,2449.9609375
receptions,Past-1-career_average_third_down_failed,2428.219970703125
receptions,Past-2-season_average_targets,2422.679443359375
receptions,Past-1-delta_career_first_down_pass,2418.27685546875
receptions,Past-2-delta_season_average_first_down_rush,2408.100830078125
receptions,Past-1-career_int_pct,2319.270263671875
receptions,Past-2-delta_career_receptions_redzone,2317.2216796875
receptions,Past-2-delta_fantasy_points_ppr,2282.02783203125
receptions,Past-1-delta_season_average_third_down_failed,2227.8046875
receptions,Past-1-career_average_team_offense_snaps,2160.993408203125
receptions,Past-1-delta_season_team_offense_snaps,2126.660400390625
receptions,Past-1-rec_td_pct,2112.786865234375
receptions,Past-2-delta_career_receiving_yards,2106.537353515625
receptions,Past-2-season_average_fantasy_points_standard,2021.082275390625
receptions,Past-1-fourth_down_converted,2006.5509033203125
receptions,Past-1-delta_season_qb_dropback,1991.8348388671875
receptions,Past-1-season_average_third_down_failed,1955.014892578125
receptions,Past-1-career_average_qb_dropback,1880.8448486328125
receptions,Past-2-career_ypg,1850.07666015625
receptions,Past-2-delta_career_average_targets,1843.733642578125
receptions,Past-1-career_passing_air_yards,1829.095947265625
receptions,Past-2-season_average_offense_snaps,1826.272216796875
receptions,Past-1-delta_season_average_shotgun,1814.20166015625
receptions,Past-1-career_receiving_air_yards,1801.7598876953125
receptions,Past-1-delta_season_total_yards,1707.235107421875
receptions,Past-1-delta_career_average_third_down_converted,1692.31201171875
receptions,Past-2-delta_career_fourth_down_converted,1690.9267578125
receptions,Past-1-team_pass_touchdown_share,1683.4278564453125
receptions,Past-2-delta_season_average_targets_redzone,1680.2216796875
receptions,Past-2-delta_season_average_fantasy_points_ppr,1619.14697265625
receptions,Past-2-delta_career_average_standard_ppg,1597.8609619140625
receptions,Past-2-delta_career_total_tds,1575.04052734375
receptions,Past-2-season_average_team_offense_snaps,1567.8411865234375
receptions,Past-2-targets,1563.3392333984375
receptions,Past-1-delta_season_average_fourth_down_converted,1561.8900146484375
rushing_yards,Past-2-career_average_rushing_yards,1558.9857177734375
receptions,Past-1-delta_career_average_receiving_air_yards,1558.1146240234375
receptions,Past-2-team_offense_snaps,1519.23974609375
receptions,Past-1-season_ypr,1506.57373046875
receptions,Past-2-delta_season_yptarget,1478.8626708984375
receptions,Past-2-delta_season_average_receiving_touchdown_gtg,1469.76171875
receptions,Past-2-delta_season_no_huddle,1460.25927734375
receptions,Past-1-adot,1456.6258544921875
receptions,Past-2-delta_games_missed,1446.2330322265625
receptions,Past-1-delta_career_average_standard_ppg,1434.5306396484375
receptions,Past-2-ypr,1427.186767578125
receptions,Past-1-delta_career_third_down_converted,1422.2391357421875
receptions,Past-2-delta_career_average_qb_dropback,1405.96875
receptions,Past-2-season_targets_gtg,1399.3961181640625
receptions,Past-1-season_average_receiving_air_yards,1397.56884765625
receptions,Past-1-delta_career_average_fantasy_points_ppr,1388.153564453125
receiving_yards,Past-1-targets_gtg,1354.75390625
receptions,Past-1-delta_career_fourth_down_converted,1351.578857421875
receptions,Past-1-delta_career_interception,1330.59912109375
receptions,Past-2-delta_career_fantasy_points_ppr,1264.0648193359375
receptions,Past-1-delta_fantasy_points_ppr,1263.3975830078125
receptions,Past-2-delta_career_no_huddle,1259.1988525390625
receptions,Past-1-season_yptarget,1256.2843017578125
receptions,Past-2-season_touches,1245.8201904296875
receptions,Past-1-delta_receiving_yards,1243.1177978515625
receptions,Past-2-delta_career_ypg,1237.7105712890625
receptions,Past-1-delta_season_average_receiving_air_yards,1233.866943359375
receptions,Past-2-career_average_third_down_converted,1224.4913330078125
receptions,Past-2-delta_season_average_receptions_redzone,1221.5504150390625
receptions,Past-2-delta_fantasy_points_standard,1200.833740234375
receptions,Past-2-delta_pass_attempts,1200.1351318359375
receptions,Past-1-delta_season_average_receiving_touchdown_redzone,1191.7069091796875
receptions,Past-1-delta_season_average_qb_dropback,1189.6026611328125
receptions,Past-1-years_exp,1186.8651123046875
receptions,Past-2-offense_pct,1185.1595458984375
receptions,Past-2-season_pass_touchdown,1167.42626953125
receptions,Past-1-delta_career_average_ppr_ppg,1166.8717041015625
receptions,Past-2-team_pass_touchdown_share,1165.487060546875
receptions,Past-1-third_down_failed,1160.951904296875
receptions,Past-2-delta_career_interception,1123.8792724609375
receptions,Past-2-career_yptouch,1123.416015625
receptions,Past-2-delta_career_average_targets_redzone,1104.01611328125
receptions,Past-1-delta_career_average_yards_after_catch,1101.420166015625
receptions,Past-1-fourth_down_failed,1097.07666015625
receptions,Past-1-delta_career_average_receiving_touchdown,1085.6907958984375
receptions,Past-2-delta_season_average_no_huddle,1083.204833984375
receptions,Past-1-delta_season_shotgun,1078.6141357421875
receptions,Past-1-delta_season_yptouch,1059.7333984375
receptions,Past-2-delta_career_average_no_huddle,1055.0750732421875
receptions,Past-2-season_ypr,1054.9764404296875
receptions,Past-1-delta_career_receptions,1034.561767578125
receptions,Past-2-age,1027.7030029296875
receptions,Past-2-targets_gtg,990.9248046875
receptions,Past-2-delta_season_average_shotgun,982.6348876953125
receptions,Past-1-delta_career_average_fourth_down_failed,969.0859375
receptions,Past-1-delta_career_yptouch,967.1837768554688
receptions,Past-2-delta_career_average_third_down_failed,959.3478393554688
receptions,Past-1-delta_season_no_huddle,959.2079467773438
receptions,Past-1-delta_career_team_offense_snaps,955.128662109375
receptions,Past-1-delta_years_exp,940.3573608398438
receptions,Past-2-career_average_targets_gtg,924.2691650390625
receptions,Past-1-season_average_receptions_redzone,922.7196044921875
receptions,Past-2-no_huddle,915.2918701171875
receptions,Past-1-delta_career_yards_after_catch,899.3924560546875
receptions,Past-1-career_average_touches,885.75634765625
receptions,Past-1-season_offense_snaps,881.4200439453125
receptions,Past-2-delta_season_receptions,877.0110473632812
receptions,Past-2-delta_season_average_receiving_touchdown_redzone,872.4216918945312
receptions,Past-2-delta_receiving_yards,861.8837890625
receptions,Past-2-season_average_fantasy_points_ppr,861.44482421875
receptions,Past-1-delta_offense_snaps,859.2227783203125
pass_touchdown,Past-1-receiving_yards,850.487060546875
receiving_touchdown,Past-1-receiving_yards,850.487060546875
receptions,Past-2-season_average_receptions_redzone,846.401123046875
receptions,Past-1-delta_career_average_third_down_failed,843.590576171875
receptions,Past-1-career_no_huddle,838.6023559570312
receptions,Past-2-career_average_standard_ppg,837.9279174804688
receptions,Past-1-yards_after_catch,834.8628540039062
receptions,Past-1-career_ypc,834.6632690429688
receptions,Past-1-season_ypg,831.4639892578125
receptions,Past-2-delta_total_tds,828.7127685546875
receptions,Past-2-delta_career_team_offense_snaps,828.5133666992188
receptions,Past-2-career_average_offense_snaps,802.6063232421875
receptions,Past-1-delta_season_ypr,798.95751953125
receptions,Past-2-delta_season_average_third_down_failed,787.6300659179688
receptions,Past-2-delta_career_ypr,786.31591796875
